,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Dominican Republic,3.211,3.647,3.28,3.483,4.134,4.267,4.654,4.526,4.295,3.286,3.496,3.689,3.957,5.187,4.804,5.179,6.261,6.836,7.268,8.562,8.064,9.717,10.863,12.74,13.014,12.2205,13.3885,14.0361,14.5765,NA
Ecuador,3.186,3.535,3.904,4.117,4.113,4.706,5.197,5.257,5.504,5.636,6.215,6.807,7.001,7.25,8.008,8.181,9.097,9.389,9.883,10.048,10.356,10.74,11.551,11.21239,12.20034,12.981,13.3959,15.645,18.0611,NA
El Salvador,1.512,1.452,1.466,1.578,1.666,1.781,1.748,1.937,2.017,2.073,2.004,1.905,2.006,2.389,2.813,3.241,3.312,3.5017,3.689,3.659,3.687,3.74199,3.923,4.1957,4.26205,4.58585,5.3703,5.5603,5.7208,NA
Falkland Islands (Islas Malvinas),0.002,0.003,0.003,0.003,0.006,0.008,0.009,0.009,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.011,0.011,0.012,0.012,0.014,0.015,0.015,0.015,0.015,0.015,0.016,0.016,0.017,NA
French Guiana,0.106,0.116,0.129,0.154,0.169,0.194,0.209,0.233,0.265,0.294,0.332,0.381,0.418,0.419,0.419,0.423,0.423,0.425,0.426,0.428,0.428,0.404,0.423,0.414,0.404,0.404,0.404,0.409,0.415,NA
Grenada,0.023,0.025,0.025,0.025,0.025,0.028,0.032,0.038,0.042,0.047,0.052,0.056,0.059,0.061,0.066,0.089,0.095,0.1,0.111,0.119,0.131,0.143,0.14902,0.15921,0.15,0.14731,0.16716,0.17867,0.18983,0.19539
Guadeloupe,0.29,0.323,0.37,0.384,0.432,0.462,0.513,0.585,0.64,0.599,0.702,0.775,0.847,0.902,0.951,0.953,1.06,1.138,1.142,1.145,1.147,1.152,1.09,1.095,1.109,1.119,1.152,1.153,1.2,NA
Guatemala,1.87,1.634,1.609,1.613,1.58,1.644,1.858,1.998,2.198,2.367,2.629,2.834,2.862,2.986,3.18,3.297,3.584,4.009,4.276,4.988,5.808,5.608,5.91,6.328,6.763,7.2992,7.6428,8.4253,8.3954,NA
Guyana,0.388,0.402,0.332,0.162,0.167,0.222,0.215,0.376,0.381,0.326,0.294,0.235,0.219,0.226,0.355,0.539,0.65,0.745,0.804,0.844,0.836,0.863,0.858,0.771,0.785,0.809,0.814,0.814,0.82,NA
Haiti,0.318,0.328,0.418,0.44,0.468,0.515,0.567,0.572,0.595,0.595,0.636,0.608,0.544,0.486,0.416,0.53,0.624,0.553,0.639,0.54,0.528,0.572,0.527,0.515,0.527,0.536,0.549,0.448,0.466,NA
Honduras,0.899,0.978,1.037,1.066,1.04,1.045,1.427,1.291,1.904,2.004,2.254,2.286,2.358,2.45,2.114,2.266,2.985,3.052,3.306,3.097,3.546,3.747,3.926,4.351,4.6382,5.3178,5.7279,6.0686,6.2611,NA
Jamaica,1.731,1.746,1.804,2.025,1.926,1.655,1.709,1.891,1.905,2.122,2.409,2.046,2.16,3.586,4.516,5.482,5.682,5.887,6.098,6.22,6.336,6.26,6.524,6.754,6.792,6.9855,7.0339,7.324,7.3232,NA
Martinique,0.258,0.279,0.318,0.367,0.383,0.414,0.447,0.502,0.55,0.601,0.641,0.694,0.742,0.801,0.849,0.917,0.958,1.013,1.025,1.045,1.048,1.053,1.109,1.114,1.123,1.133,1.142,1.152,1.165,NA
Montserrat,0.011,0.012,0.012,0.012,0.012,0.012,0.012,0.013,0.013,0.014,0.013,0.014,0.014,0.015,0.015,0.016,0.016,0.017,0.014,0.014,0.011,0.011,0.019,0.02,0.02,0.02,0.02,0.021,0.022,NA
Netherlands Antilles,1.021,1.03,1.171,1.199,1.105,1.058,0.916,0.65,0.658,0.693,0.743,0.753,0.802,0.854,0.913,0.948,0.993,0.991,1.049,1.047,1.054,1.029,1.025,1.11,1.137,1.173,1.145,1.181,1.167,NA
Nicaragua,1.062,1.094,1.044,0.935,0.971,1.051,1.011,1.283,1.166,1.354,1.382,1.413,1.507,1.602,1.603,1.711,1.798,1.77,2.023,2.076,2.156,2.341,2.646,2.562,2.673,2.94635,3.02293,3.28634,3.41928,NA
Panama,1.791,1.999,2.177,2.31,2.353,2.496,2.724,2.777,2.718,2.673,2.784,2.94,2.843,3.132,3.254,3.482,4.113,4.176,3.641,4.375,4.765,4.942,5.146,5.383,5.605,5.6638,5.809,6.271,6.2431,NA
Paraguay,0.763,0.793,0.709,0.824,0.935,4.121,11.974,18.569,19.95,24.253,27.229,29.39,27.181,31.167,36.071,41.757,44.915,50.4,50.422,51.449,52.969,44.876,47.744,51.26933,51.417,50.657,53.249,53.191,54.912,NA
Peru,9.95944,10.6864,11.35806,10.69922,11.62904,12.16208,12.96554,13.94652,13.4339,13.47786,13.183,13.884,12.829,14.5,14.491,16.432,16.932,17.526,18.154,18.626,19.529,20.414,21.568,22.478,23.839,25.3219,26.7053,29.1175,31.9212,NA
Puerto Rico,13.301,13.058,11.114,11.326,11.783,11.586,12.109,12.944,13.552,13.465,14.24632,14.86057,15.44584,16.17872,16.83444,17.40713,17.87899,18.74312,19.21237,20.10394,21.813,22.302,23.175,23.937,24.135,24.96228,23.837,22.305,20.921,NA
Saint Kitts and Nevis,0.034,0.034,0.035,0.033,0.033,0.033,0.033,0.034,0.035,0.035,0.061,0.079,0.079,0.065,0.07,0.076,0.077,0.085,0.087,0.092,0.094,0.094,0.103,0.119,0.122,0.125,0.127,0.129,0.13,NA
Saint Lucia,0.054,0.058,0.057,0.064,0.064,0.068,0.07,0.075,0.097,0.097,0.098,0.099,0.143,0.16021,0.16984,0.18478,0.18615,0.20036,0.22173,0.24082,0.26014,0.26935,0.26857,0.28104,0.29003,0.3042,0.31091,0.32496,0.3312,0.34121
Saint Vincent/Grenadines,0.026,0.027,0.03,0.03,0.034,0.038,0.04,0.043,0.047,0.048,0.049,0.051,0.055,0.06,0.061,0.069,0.073,0.076,0.081,0.081,0.09,0.094,0.097,0.103,0.114,0.12584,0.12696,0.13376,0.13197,NA
Suriname,1.524,1.324,1.304,1.077,1.108,1.172,1.167,0.671,0.887,1.343,1.501,1.682,1.726,1.75,1.77,1.594,1.406,1.414,1.421,1.44,1.397,1.416,1.431,1.444,1.457,1.518,1.563,1.563,1.58,NA
Trinidad and Tobago,1.95,2.174,2.53,2.746,2.83,2.853,3.136,3.322,3.309,3.255,3.362,3.497,3.738,3.589,3.825,4.049,4.269,4.689,4.859,4.932,5.132,5.306,5.306,6.051,6.0448,6.6329,6.6227,7.2026,7.4185,NA
Turks and Caicos Islands,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.01,0.019,0.023,0.026,0.03,0.034,0.037,0.036,0.048,0.05,0.06,0.071,0.075,0.096,0.103,0.11,0.124,0.149,0.171,0.175,NA
Uruguay,3.272,3.522,3.53,7.277,7.187,6.569,7.397,7.535,6.896,5.645,7.397,6.902,8.781,7.89,7.585,6.217,6.554,7.067,9.954,7.038,7.488,9.157,9.508,8.525,5.7852,7.5572,5.4617,9.2653,8.4736,NA
Venezuela,32.012,35.957,38.274,41.801,42.645,46.22,48.363,52.427,56.46,55.896,57.606,61.752,65.744,67.579,69.498,71.598,73.745,76.245,78.947,78.777,83.24,87.733,86.646,89.365,96.07,99.203,108.412,113.319,118.13,123.391
"Virgin Islands,  U.S.",0.749,0.791,0.801,0.823,0.827,0.846,0.865,0.905,0.912,0.893,0.921,0.94,0.959,0.978,0.994,1.007,1.011,1.015,1.019,1.02,1.025,0.968,0.978,0.978,0.987,0.8547,0.86377,0.87084,0.84357,NA
"Virgin Islands, British",0.022,0.024,0.025,0.024,0.027,0.029,0.033,0.037,0.04,0.041,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.04,0.0381,0.038,0.042,0.042,0.042,0.045,0.045,0.045,NA
