,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Kyrgyzstan,--,--,--,--,--,--,--,--,--,--,--,--,11.725,11.051,12.743,12.164,13.545,12.426,11.416,12.975,15.708,14.662,12.84,15.317,16.038,16.143,16.801,15.961,11.702,NA
Latvia,--,--,--,--,--,--,--,--,--,--,--,--,3.733,3.832,4.339,3.887,3.029,4.378,4.382,4.001,4.029,4.166,3.86,3.851,4.5636,4.7786,4.7336,4.6222,5.1138,NA
Lithuania,--,--,--,--,--,--,--,--,--,--,--,--,17.645,13.949,9.162,12.157,14.648,12.912,16.104,12.254,10.331,13.424,16.133,17.481,17.449,13.35309,11.1341,12.409,12.2719,NA
Moldova,--,--,--,--,--,--,--,--,--,--,--,--,10.586,9.668,7.748,5.72,5.773,4.976,4.313,3.894,3.114,3.433,3.11,3.211,3.399,3.635,3.603,3.617,3.412,NA
Russia,--,--,--,--,--,--,--,--,--,--,--,--,965.152,914.166,807.643,815.078,804.048,793.797,786.414,798.668,831.1731,840.5586,844.31395,866.3436,883.5833,901.7232,939.4105,962.0724,984.4903,925.9408
Tajikistan,--,--,--,--,--,--,--,--,--,--,--,--,16.609,17.533,16.798,14.612,14.842,13.85,14.265,15.621,13.983,14.229,15.142,16.336,16.319,16.913,16.754,17.3,15.971,NA
Turkmenistan,--,--,--,--,--,--,--,--,--,--,--,--,12.392,11.879,9.866,9.212,9.495,8.928,8.852,8.329,9.255,9.974,10.058,10.152,11.205,12.051,12.831,13.987,14.138,NA
Ukraine,--,--,--,--,--,--,--,--,--,--,--,--,238.232,217.14,191.715,183.293,173.367,168.342,163.096,161.879,159.885,163.037,163.644,169.97,172.526,175.1761,182.2273,185.06366,181.2758,NA
Uzbekistan,--,--,--,--,--,--,--,--,--,--,--,--,48.17,46.568,45.289,44.907,43.02,43.579,43.433,42.866,44.323,44.949,46.661,46.817,47.404,46.68,48.322,46.333,47.004,47.42
Middle East,91.44,102.917,122.546,136.774,152.233,164.017,172.613,181.866,204.334,216.084,224.316,223.631,248.402,272.506,298.318,318.813,337.416,359.561,389.232,404.896,434.744,461.4667,492.9297,520.8037,554.6927,597.1484,642.4242,677.2622,726.123,NA
Bahrain,1.554,1.699,1.881,2.083,2.272,2.761,3.018,3.117,3.273,3.281,3.281,3.285,3.662,3.989,4.277,4.335,4.715,4.738,5.427,5.599,5.919,6.372,6.841,7.302,7.941,8.335,9.16,10.254,11.217,NA
Iran,21.256,23.653,27.333,31.336,35.252,35.316,34.9,35.955,44.258,45.789,55.86,60.631,64.979,71.947,77.471,76.105,81.257,87.718,93.406,102.248,112.813,122.517,132.688,143.97,157.523,168.3825,188.5388,192.6479,201.6632,NA
Iraq,10.736,10.313,12.869,15.258,17.307,19.765,20.989,22.835,25.801,27.196,20.72,19.021,23.817,24.752,26.348,27.288,27.464,27.816,28.566,27.971,30.017,30.347,31.857,26.662,30.382,28.599,29.981,31.217,34.6,NA
Israel,11.731,12.278,12.947,13.703,14.014,14.434,14.96,16.374,18.191,19.226,19.643,20.224,23.207,24.446,26.625,28.566,30.519,32.994,35.688,36.865,40.392,41.208,42.642,44.22,44.356,45.6594,47.5179,50.557,53.0385,NA
Jordan,1.002,1.237,1.512,1.803,2.129,2.345,2.778,2.538,2.505,3.229,3.427,3.501,4.159,4.478,4.772,5.281,5.697,5.889,6.341,6.657,6.938,7.1037,7.6467,7.5167,8.4317,9.4955,10.4545,12.2233,13.0103,NA
Kuwait,8.818,9.679,11.252,12.06,13.344,14.748,16.183,17.296,18.798,20.204,19.373,10.133,15.779,18.967,21.43,22.302,23.947,25.121,28.185,29.681,30.882,32.739,34.678,37.414,38.781,41.11,44.751,45.828,48.644,49.82
Lebanon,2.622,2.667,2.75,2.763,2.849,2.658,2.793,2.855,2.778,2.516,2.425,2.789,3.413,4.473,4.914,5.183,6.587,8.049,7.882,7.711,7.392,7.701,9.114,9.982,9.637,9.569,8.764,9.03,10.007,NA
Oman,0.896,1.075,1.494,1.783,2.264,2.725,3.4,3.652,4.148,4.425,4.234,4.348,4.806,5.483,5.825,6.072,6.394,6.879,7.706,7.908,8.564,9.153,9.711,10.071,10.809,11.889,13.258,14.011,15.334,17.632
Palestine,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0.033,0.14,0.321,0.371,0.47,0.324,0.392,0.4,NA
Qatar,2.276,2.596,2.893,3.116,3.349,3.712,4.045,4.155,4.23,4.367,4.529,4.374,4.844,5.194,5.465,5.617,6.181,6.456,7.638,8.403,8.586,9.354,10.284,11.291,12.439,13.532,16.055,18.294,20.319,19.175
Saudi Arabia,20.452,26.95,32.912,35.19,40.069,44.311,47.646,50.649,57.229,61.568,64.899,69.212,74.009,82.183,91.019,97.846,101.114,107.546,114.624,112.8,118.62,125.653,133.233,143.82,150.282,165.557,170.548,179.103,191.948,194.39
Syria,3.729,4.415,5.707,7.425,8.351,8.933,8.761,8.418,7.608,8.029,8.306,8.231,7.479,8.143,10.405,14.508,16.369,17.195,20.024,21.583,23.866,25.28,26.507,27.901,30.365,33.012,35.246,36.5,38.705,NA
United Arab Emirates,5.897,5.815,8.349,9.533,10.215,11.454,12.046,12.839,13.95,14.675,16.056,16.189,16.412,16.523,17.738,23.483,24.978,26.756,31.388,34.899,37.547,40.582,44.045,46.483,49.272,57.056,62.762,71.54,81.084,80.935
Yemen,0.471,0.54,0.647,0.721,0.818,0.855,1.094,1.183,1.565,1.579,1.563,1.693,1.836,1.928,2.029,2.227,2.194,2.404,2.357,2.571,3.208,3.424,3.543,3.85,4.103,4.482,5.064,5.665,6.153,NA
Africa,188.823,200.13265,206.80635,215.4141,234.71675,251.89145,264.8811,276.91875,285.82345,296.5521,307.46838,314.45475,316.9394,328.05344,341.45425,354.4076,366.59495,384.0747,381.08821,397.6222,417.09247,435.95509,459.38691,483.58503,513.52598,533.91517,552.91312,580.27185,586.14142,NA
Algeria,6.683,7.65,8.824,9.615,10.537,11.569,12.214,13.014,14.08,14.449,15.145,16.319,17.199,18.267,18.703,18.09,19.124,19.739,21.448,23.282,23.89,25.031,25.992,27.81,29.386,31.907,33.124,34.976,37.836,40.112
Angola,0.905,0.906,0.995,1.028,1.028,1.028,1.088,1.097,1.097,1.104,1.169,1.166,1.283,1.332,1.342,1.347,1.377,1.331,1.52,1.3,1.404,1.591,1.717,1.938,2.194,2.585,2.914,3.274,3.944,NA
Benin,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.019,0.022,0.023,0.024,0.048,0.029,0.0487,0.0517,0.0597,0.0677,0.079,0.062,0.059,0.075,0.076,0.101,0.12,0.124,0.128,NA
Botswana,0.443,0.502,0.489,0.434,0.445,0.456,0.538,0.846,0.8,0.797,0.852,0.879,1.088,1.027,1.044,1.047,0.759,0.87,1.026,1.043,1.047,0.949,0.996,1.046,0.932,0.913,0.979,0.678,0.593,NA
Burkina Faso,0.098,0.108,0.115,0.117,0.113,0.115,0.122,0.133,0.143,0.153,0.174,0.182,0.19,0.205,0.206,0.232,0.263,0.282,0.312,0.348,0.318,0.327,0.36492,0.44466,0.47223,0.48947,0.51953,0.58152,0.58903,0.66442
Burundi,0.003,0.004,0.004,0.025,0.041,0.047,0.062,0.095,0.104,0.103,0.109,0.112,0.106,0.11,0.116,0.119,0.118,0.121,0.111,0.099,0.1,0.116,0.128,0.102,0.092,0.101,0.094,0.118,0.208,NA
Cameroon,1.432,1.883,2.13,2.096,2.191,2.381,2.355,2.362,2.553,2.668,2.675,2.71,2.695,2.699,2.738,2.811,2.928,3.095,3.134,3.34,3.444,3.502,3.261,3.64,4.06,3.952,4.39,5.601,5.421,NA
Cape Verde,0.015,0.015,0.021,0.022,0.026,0.027,0.028,0.031,0.033,0.033,0.039,0.05,0.057,0.064,0.07,0.072,0.076,0.081,0.088,0.102,0.13,0.149,0.165,0.182,0.2,0.2221,0.2351,0.2531,0.2565,NA
Central African Republic,0.067,0.066,0.07,0.068,0.072,0.077,0.093,0.091,0.092,0.092,0.093,0.092,0.094,0.095,0.099,0.1,0.102,0.104,0.102,0.103,0.105,0.106,0.106,0.107,0.108,0.125,0.136,0.157,0.16,NA
Chad,0.044,0.048,0.049,0.048,0.049,0.051,0.065,0.079,0.076,0.077,0.085,0.082,0.079,0.081,0.08,0.084,0.085,0.085,0.086,0.086,0.086,0.087,0.087,0.088,0.091,0.094,0.096,0.099,0.1,NA
Comoros,0.009,0.01,0.01,0.011,0.012,0.014,0.014,0.014,0.014,0.016,0.015,0.015,0.015,0.015,0.015,0.015,0.016,0.016,0.017,0.017,0.019,0.028,0.031,0.033,0.042,0.045,0.048,0.047,0.052,NA
Congo (Brazzaville),0.151,0.157,0.198,0.231,0.25,0.29,0.267,0.278,0.289,0.396,0.488,0.477,0.424,0.358,0.322,0.35,0.453,0.448,0.341,0.252,0.293,0.332,0.393,0.393,0.391,0.425,0.444,0.4,0.452,NA
Congo (Kinshasa),4.388,4.293,4.224,4.561,4.776,5.11,5.342,5.327,5.331,5.866,5.593,5.227,6.011,5.489,5.258,6.114,6.047,4.992,4.68,5.266,5.957,5.932,6.068,6.118,7.028,7.341,7.469,7.781,7.452,NA
Cote dIvoire (IvoryCoast),1.713,1.875,1.919,1.993,1.558,1.965,2.017,2.369,2.233,2.444,2.221,1.812,1.666,2.123,2.397,2.962,3.127,3.847,3.831,4.627,4.6,4.682,5.063,4.976,5.276,5.4165,5.3924,5.3843,5.5481,NA
Djibouti,0.11,0.115,0.123,0.139,0.137,0.154,0.16,0.161,0.164,0.165,0.168,0.169,0.169,0.171,0.171,0.173,0.174,0.176,0.176,0.176,0.18,0.179,0.188,0.188,0.202,0.24,0.263,0.274,0.28,NA
Egypt,18.256,20.498,19.939,22.487,29.316,32.3,33.484,36.744,35.401,37.695,41.408,42.56,43.496,47.751,50.06,52.681,51.755,55.522,59.799,65.173,71.657,79.044,84.483,90.127,95.859,102.806,109.135,118.405,123.92044,NA
Equatorial Guinea,0.017,0.015,0.014,0.012,0.015,0.017,0.016,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.019,0.019,0.02,0.021,0.021,0.042,0.054,0.061,0.076,0.08,0.085,0.09,0.09,0.092,NA
Eritrea,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.151,0.162,0.181,0.1774,0.18396,0.2,0.196,0.218,0.243,0.259,0.266,0.271,0.253,0.271,0.2699,NA
Ethiopia,0.651,0.68,0.746,0.787,0.837,0.892,0.949,1.1,1.172,1.218,1.199,1.211,1.221,1.435,1.433,1.453,1.536,1.595,1.633,1.626,1.657,1.991,2.023,2.272,2.513,2.816,3.235,3.503,3.7153,NA
Gabon,0.51,0.579,0.651,0.711,0.777,0.842,0.848,0.852,0.858,0.882,0.985,1.001,1.027,1.067,1.07,1.181,1.187,1.241,1.275,1.291,1.277,1.343,1.416,1.459,1.488,1.555,1.6756,1.7736,1.9626,NA
"Gambia, The",0.037,0.045,0.044,0.045,0.047,0.048,0.053,0.058,0.061,0.057,0.066,0.066,0.067,0.069,0.069,0.07,0.071,0.075,0.082,0.091,0.1105,0.127,0.142,0.158,0.174,0.191,0.203,0.215,0.22,NA
Ghana,5.309,5.382,4.981,2.61,1.899,3.077,4.459,4.682,4.863,5.223,5.707,6.116,6.575,6.249,6.059,6.054,6.585,6.816,4.725,5.828,7.12,7.719,7.11,5.74,5.941,6.662,8.204,6.746,8.167,NA
Guinea,0.363,0.368,0.376,0.388,0.457,0.466,0.474,0.477,0.488,0.491,0.495,0.5,0.502,0.507,0.509,0.522,0.527,0.62,0.643,0.725,0.743,0.933,0.984,0.865,0.942,0.881,0.842,0.942,0.92,NA
Guinea-Bissau,0.013,0.013,0.013,0.013,0.014,0.014,0.017,0.019,0.021,0.029,0.038,0.039,0.041,0.044,0.046,0.047,0.048,0.05,0.05,0.051,0.055,0.056,0.056,0.057,0.059,0.06,0.062,0.066,0.07,NA
Kenya,1.585,1.8557,1.9084,2.31715,2.34485,2.58755,2.4232,2.5709,2.9686,3.03525,3.23858,3.37065,3.3673,3.55349,3.69,4.103,4.285,4.483,4.603,4.382,3.93,4.462,4.82395,5.14695,5.49895,5.91814,6.37073,6.55816,6.79026,NA
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195,0.288,0.285,0.314,0.325,0.297,0.347,0.198,0.198,0.2,NA
Liberia,0.852,0.801,0.806,0.794,0.696,0.73,0.784,0.79,0.8,0.785,0.301,0.273,0.282,0.287,0.287,0.29,0.29,0.294,0.3,0.305,0.307,0.318,0.318,0.301,0.31,0.318,0.33,0.332,0.335,NA
Libya,4.526,5.244,5.618,6.695,8.615,11.091,12.483,14.664,15.04,15.134,15.792,15.886,15.933,15.98,16.732,16.92,17.202,17.836,12.716,13.522,14.566,15.144,16.479,17.806,18.99,20.978,22.552,24.152,26.947,NA
Madagascar,0.417,0.42,0.431,0.452,0.476,0.483,0.482,0.478,0.49,0.541,0.574,0.568,0.58,0.581,0.584,0.609,0.664,0.695,0.75,0.777,0.78,0.785,0.78,0.877,0.963,1.006,0.961,0.906,1.11,NA
Malawi,0.407,0.4,0.425,0.459,0.476,0.486,0.519,0.572,0.577,0.58,0.71,0.757,0.783,0.953,1,1.018,1.017,1.045,1.184,1.157,1.204,1.23,1.286,1.314,1.452,1.522,1.538,1.703,1.676,NA
Mali,0.103,0.103,0.127,0.147,0.164,0.167,0.198,0.215,0.236,0.243,0.241,0.25,0.271,0.292,0.275,0.305,0.326,0.379,0.387,0.392,0.399,0.402,0.404,0.434,0.45,0.45902,0.473,0.479,0.49,NA
Mauritania,0.089,0.096,0.1,0.101,0.099,0.103,0.104,0.114,0.115,0.123,0.133,0.136,0.139,0.139,0.143,0.16,0.175,0.189,0.195,0.203,0.22966,0.25356,0.26366,0.31244,0.3363,0.37566,0.39386,0.4153,0.547,NA
Mauritius,0.441,0.436,0.429,0.439,0.45,0.453,0.501,0.565,0.613,0.652,0.719,0.787,0.875,0.934,0.974,1.06,1.2,1.319,1.452,1.491,1.676,1.8,1.836,1.963,2.041,2.141,2.21265,2.32059,2.402,NA
Morocco,4.921,5.408,5.773,6.269,6.471,6.602,7.272,7.722,8.473,8.594,9.088,8.734,9.184,9.338,10.349,12.066,12.364,13.162,13.393,13.113,12.929,14.724,15.724,17.097,18.25,20.6907,19.1309,19.2111,19.4931,NA
Mozambique,13.56,3.48,3.121,5.18,0.697,0.314,0.167,0.171,0.21,0.227,0.441,0.459,0.408,0.386,0.389,0.402,0.47,0.993,1.512,7.629,9.567,11.764,12.584,10.796,11.594,13.151,14.589,15.914,14.975,NA
Namibia,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,1.155,0.882,0.634,1.007,1.195,1.398,1.4,1.525,1.575,1.662,1.732,1.69,1.682,2.197,NA
Niger,0.122,0.136,0.122,0.14,0.128,0.144,0.146,0.148,0.15,0.153,0.158,0.151,0.153,0.149,0.138,0.139,0.143,0.14,0.136,0.142,0.178,0.156,0.172,0.179,0.198,0.183,0.167,0.15,0.2,NA
Nigeria,6.867,7.84,8.14,8.283,8.573,9.929,11.396,10.753,11.155,12.251,12.029,13.613,14.247,13.913,14.877,13.889,14.367,14.697,14.73,15.432,14.131,14.718,18.788,19.197,23.005,22.343,22.036,21.911,20.13,NA
Reunion,0.339,0.385,0.428,0.485,0.509,0.553,0.603,0.668,0.739,0.785,0.879,0.952,1.05,1.062,1.074,1.152,1.215,1.41,1.499,1.503,1.508,1.512,1.545,1.55,1.582,1.608,1.636,1.717,1.703,NA
Rwanda,0.117,0.107,0.136,0.154,0.164,0.165,0.153,0.168,0.171,0.175,0.169,0.167,0.174,0.157,0.16,0.162,0.144,0.164,0.164,0.131,0.113,0.09025,0.09869,0.119,0.091,0.108,0.162,0.16,0.16,NA
Saint Helena,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.007,0.008,0.008,0.008,0.008,0.008,NA
Sao Tome and Principe,0.009,0.009,0.011,0.011,0.015,0.015,0.014,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.018,0.019,0.02,0.021,0.022,0.026,0.028,0.024,0.03,0.031,0.035,0.039,0.04,0.041,0.041,NA
Senegal,0.633,0.66895,0.67495,0.64995,0.6909,0.7479,0.7509,0.66585,0.64085,0.84285,0.8998,0.9228,1.0018,0.99075,1.02275,1.0687,1.13065,1.2136,1.27655,1.3145,1.43745,1.686,1.7906,1.9013,1.9929,2.27245,2.2795,2.479,2.2324,NA
Seychelles,0.047,0.051,0.053,0.056,0.056,0.062,0.062,0.07,0.078,0.08,0.095,0.1,0.103,0.11,0.118,0.121,0.125,0.139,0.149,0.162,0.178,0.18,0.205,0.21,0.212,0.217,0.237,0.254,0.26,NA
Sierra Leone,0.188,0.212,0.224,0.228,0.243,0.165,0.148,0.147,0.161,0.209,0.211,0.216,0.216,0.219,0.223,0.09,0.135,0.09,0.103,0.068,0.089,0.131,0.148,0.135,0.112,0.078,0.053,0.057,0.058,NA
Somalia,0.113,0.075,0.08,0.1,0.132,0.208,0.238,0.24,0.242,0.243,0.246,0.249,0.249,0.252,0.255,0.256,0.259,0.259,0.26,0.261,0.235,0.245,0.258,0.273,0.274,0.284,0.289,0.307,0.315,NA
South Africa,93.073,106.932,111.915,113.87,127.395,133.236,138.274,142.01,148.132,153.39,156.007,158.861,157.079,163.268,170.705,176.051,186.185,195.056,191.029,188.48,195.81386,196.27428,203.2541,217.21568,227.5287,227.92634,235.4424,244.80578,238.30278,NA
Sudan,0.695,0.951,1.014,1.014,1.085,1.264,1.268,1.274,1.281,1.29,1.472,1.614,1.59,1.639,1.803,1.8,1.993,2.073,2.033,2.338,2.474,2.733,2.972,3.211,3.314,3.659,3.996,4.341,4.323,NA
Swaziland,0.273,0.294,0.256,0.234,0.307,0.365,0.367,0.381,0.382,0.419,0.349,0.404,0.404,0.404,0.404,0.41,0.41,0.41,0.408,0.41,0.454,0.449,0.453,0.377,0.337,0.39,0.417,0.435,0.47,NA
Tanzania,1.208,1.249,1.262,1.304,1.336,1.35,1.314,1.409,1.435,1.595,1.692,1.873,1.79,1.847,1.676,1.808,1.959,1.66,2.407,2.346,2.439,2.718,2.82,2.627,2.838,2.942,2.682,4.05,4.281,NA
Togo,0.05,0.053,0.078,0.053,0.074,0.109,0.105,0.109,0.116,0.126,0.15,0.279,0.212,0.315,0.242,0.344,0.283,0.19,0.284,0.282,0.17,0.12,0.148,0.174,0.1809,0.1829,0.2118,0.1885,0.1569,NA
Tunisia,2.621,2.83,2.975,3.503,3.813,3.962,3.952,4.281,4.623,4.793,5.205,5.404,5.812,5.937,6.314,6.872,7.457,8.004,8.563,9.405,9.963,10.713,11.134,11.674,12.291,12.9739,13.2791,13.7849,14.3951,NA
Uganda,0.634,0.52,0.563,0.517,0.616,0.632,0.644,0.614,0.585,0.682,0.766,0.7753,0.9823,0.9672,1.0065,1.0449,1.1176,1.251,1.266,1.264,1.557,1.552,1.675,1.757,1.89,1.902,1.51356,1.906,2.176,NA
Western Sahara,0.072,0.072,0.073,0.073,0.073,0.071,0.074,0.076,0.077,0.078,0.08,0.08,0.08,0.08,0.08,0.082,0.082,0.082,0.082,0.08,0.08,0.08,0.085,0.085,0.085,0.085,0.09,0.09,0.09,NA
Zambia,9.172,9.809,10.024,10.051,9.912,9.958,9.811,8.455,8.396,6.777,7.789,7.776,7.72,7.721,7.714,7.842,7.091,7.859,7.524,7.684,7.718,7.861,8.068,8.222,8.424,8.846,9.799,9.731,9.597,NA
Zimbabwe,4.465,4.476,4.097,4.387,4.502,4.992,5.955,7.718,8.023,8.749,9.254,8.953,8.188,7.359,7.171,7.429,6.991,6.966,6.304,6.813,6.738,7.582,8.263,8.539,9.411,9.945,8.212,8.225,7.723,NA
Asia & Oceania,1265.5714,1301.4069,1358.1464,1443.4722,1546.9913,1642.1113,1733.40322,1880.67686,2029.2753,2174.24069,2321.0609,2466.52333,2593.80475,2748.61642,2989.69201,3166.61424,3309.6887,3493.9072,3615.7422,3748.3791,3954.405,4199.5468,4455.1096,4765.69656,5196.26657,5588.4966,6047.56,6509.83838,6712.48871,NA
Afghanistan,0.942,0.992,0.952,1,1.019,1.034,1.135,1.218,1.08,1.089,1.098,0.989,0.685,0.677,0.669,0.608,0.549,0.499,0.46,0.455,0.467,0.386,0.687,0.812,0.783,0.907,0.917,0.839,0.832,NA
American Samoa,0.07,0.067,0.067,0.071,0.069,0.083,0.075,0.081,0.091,0.09,0.094,0.102,0.102,0.115,0.122,0.129,0.134,0.141,0.147,0.152,0.159,0.161,0.168,0.177,0.177,0.178,0.181,0.184,0.19,NA
Australia,87.359,92.895,96.726,98.057,103.735,110.458,116.309,121.962,130.914,139.191,146.007,148.233,150.7264,154.6144,158.337,163.78075,168.08111,173.34225,185.4279,191.5001,197.83136,211.45932,214.51586,213.27816,222.82256,231.17212,232.7922,236.35712,242.2236,232.01146
Bangladesh,2.665,3.026,3.433,3.572,4.088,4.622,4.845,5.583,6.488,7.04,7.618,8.436,9.021,9.305,10.008,10.412,10.823,11.183,12.152,13.625,14.873,16.398,17.598,18.586,23.265,24.98,28.156,29.478,32.933,NA
Bhutan,0.016,0.02,0.022,0.022,0.02,0.011,0.304,1.17,1.532,1.533,1.548,1.561,1.605,1.605,1.659,1.716,1.853,1.821,1.784,1.783,1.793,1.9211,2.178,2.504,2.33,2.621,4.575,6.496,7.065,NA
Brunei,0.439,0.479,0.534,0.682,0.781,0.852,0.901,0.938,1.047,1.089,1.163,1.256,1.324,1.454,1.563,1.848,1.996,2.263,2.353,2.288,2.39,2.424,2.539,3,3.068,3.068,3.1,3.191,3.218,NA
Burma (Myanmar),1.435,1.352,1.502,1.622,1.823,2.038,2.157,2.226,2.14,2.402,2.389,2.579,2.892,3.267,3.459,3.894,3.79,4.261,3.939,4.413,4.905,4.699,4.876,5.213,5.392,5.804,5.961,5.423,6.426,NA
Cambodia,0.096,0.103,0.107,0.101,0.096,0.106,0.115,0.125,0.135,0.143,0.153,0.158,0.166,0.172,0.179,0.285,0.292,0.323,0.358,0.397,0.47,0.534,0.534,0.599,0.721,0.83,1.0269,1.273,1.3773,NA
China,285.474,294.017,311.758,334.636,358.72,390.678,427.349,472.472,517.849,555.538,590.346,643.117,716.04,795.733,880.393,956.16,1005.424,1070.087,1103.563,1171.699,1280.465,1426.5221,1584.5018,1810.0814,2103.34,2369.8055,2717.3686,3039.5719,3221.1811,3445.9935
Cook Islands,0.01,0.011,0.01,0.009,0.01,0.011,0.012,0.013,0.013,0.014,0.015,0.015,0.015,0.015,0.015,0.019,0.019,0.019,0.019,0.021,0.024,0.024,0.026,0.027,0.027,0.027,0.03,0.031,0.032,0.031
Fiji,0.29,0.297,0.303,0.311,0.378,0.386,0.392,0.403,0.394,0.406,0.458,0.463,0.461,0.471,0.509,0.533,0.534,0.54,0.618,0.685,0.669,0.706,0.781,0.95,0.952,1.013,1.076,0.966,0.931,0.97
French Polynesia,0.239,0.262,0.272,0.216,0.192,0.208,0.213,0.213,0.243,0.258,0.277,0.287,0.302,0.308,0.32,0.335,0.337,0.343,0.34,0.347,0.389,0.472,0.522,0.572,0.612,0.6,0.625,0.654,0.67,NA
Guam,1.077,1.044,1.03,0.917,0.94,0.9508,0.99172,1.06186,1.1593,1.23869,1.28645,1.39348,1.4318,1.57928,1.66887,1.61868,1.73498,1.74546,1.766,1.814,1.84976,1.85,1.633,1.684,1.775,1.793,1.78938,1.76737,1.7643,NA
Hawaiian Trade Zone,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Hong Kong,11.845,12.46,13.582,15.493,16.848,18.081,20.127,22.328,23.978,25.721,27.202,29.899,32.813,33.793,25.138,26.241,26.735,27.208,29.532,27.728,29.451,30.486,32.255,33.378,34.904,36.141,36.297,36.612,35.7116,NA
India,119.26,131.12,139.41,144.987,161.739,174.93,191.896,208.235,229.432,255.104,275.493,300.309,315.969,339.33788,366.099,396.016,412.594,441.071,470.657,504.352,529.122,549.74898,565.277,600.525,630.8668,661.8006,711.5485,759.33963,785.52885,835.266
Indonesia,12.786,15.362,17.661,18.281,20.088,26.396,30.27,32.034,36.555,36.974,43.015,45.916,48.713,51.971,57.363,56.841,63.915,73.028,75.853,81.694,87.638,96.198,102.284,106.699,113.52,120.3528,125.7011,134.37202,141.1852,NA
Japan,546.764,546.029,553.777,586.835,618.331,638.364,643.521,693.668,725.328,763.506,812.68095,839.77295,847.89485,855.4225,910.33635,935.1316,954.15803,984.14955,990.3568,995.98735,987.65,970.9154,989.3735,980.99165,1009.2674,1028.0876,1034.0759,1059.9602,1015.1652,982.3041
Kiribati,0.005,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.01,0.01,0.012,0.013,0.011,0.013,0.016,0.019,0.02,0.022,0.022,0.022,NA
"Korea, North",22.199,22.825,24.857,25.069,28.048,30.977,32.61,33.298,35.06,35.295,35.474,35.295,27.218,26.327,26.352,26.278,24.125,21.864,20.806,17.999,18.746,19.518,19.122,20.325,21.281,22.195,21.721,20.895,22.517,NA
"Korea, South",34.472,37.233,39.67,44.911,49.618,53.468,58.833,66.553,76.907,85.77,98.124,110.208,121.515,134.25642,170.77154,188.87788,210.43557,229.52414,225.3258,222.36315,248.63155,291.559,311.035,324.143,346.0456,366.0261,379.4932,401.4981,418.1545,417.3112
Laos,0.968,1.139,1.188,1.061,0.978,0.895,0.857,0.569,0.525,0.699,0.859,0.918,0.898,0.907,0.889,1.073,1.229,1.204,1.967,2.569,3.623,3.645,3.55,3.131,3.299,3.441,3.553,3.618,3.9798,NA
Macau,0.245,0.276,0.317,0.378,0.398,0.417,0.48,0.577,0.635,0.697,0.743,0.836,0.932,1.119,1.179,1.196,1.29,1.324,1.34,1.355,1.389,1.40978,1.51472,1.61605,1.8145,1.9465,1.568,1.428,1.138,1.378
Malaysia,10.186,10.895,11.499,12.686,13.791,14.996,15.292,16.469,18.438,20.784,23.952,26.821,27.753,32.892,37.074,43.016,48.558,54.567,57.273,61.654,65.428,67.456,70.044,74.045,77.337,79.996,84.773,91.988,91.921,101.126
Maldives,0.004,0.005,0.006,0.007,0.009,0.013,0.015,0.018,0.019,0.02,0.023,0.026,0.028,0.038,0.043,0.054,0.059,0.067,0.077,0.087,0.098,0.109,0.118,0.133,0.15,0.174,0.199,0.23,0.26,NA
Mongolia,1.466,1.464,1.421,1.662,2.128,2.519,2.816,2.964,3.102,3.355,3.147,3.035,2.753,2.427,2.552,2.471,2.457,2.502,2.515,2.671,2.77,2.836,2.925,2.95,3.105,3.214,3.331,3.479,3.896,NA
Nauru,0.024,0.024,0.024,0.025,0.026,0.026,0.027,0.027,0.027,0.027,0.027,0.027,0.028,0.028,0.028,0.03,0.03,0.03,0.03,0.031,0.031,0.028,0.028,0.029,0.029,0.03,0.031,0.032,0.032,NA
Nepal,0.212,0.245,0.237,0.342,0.363,0.359,0.456,0.568,0.581,0.56,0.902,0.93,0.86,0.909,0.982,1.223,1.204,1.089,1.221,1.509,1.679,1.856,2.115,2.244,2.391,2.595,2.672,2.974,3.052,NA
New Caledonia,1.324,1.176,0.918,0.705,0.878,1.075,1.06,0.953,1.136,1.147,1.098,1.114,1.118,1.118,1.222,1.575,1.413,1.445,1.509,1.54,1.562,1.637,1.653,1.664,1.58403,1.77,1.748,1.795,1.8,NA
